trial_number,value,datetime_start,datetime_complete,duration_seconds,dropout,lr,weight_decay,batch_norm
0,1.0,2025-11-09 22:01:01.010125,2025-11-09 22:01:01.264754,0.254629,0.013049606657767998,0.009151131283621775,0.0007436975987555581,True
1,0.6,2025-11-09 22:01:01.287418,2025-11-09 22:01:01.444877,0.157459,0.19129904462983072,0.0010483871922265628,0.0029231131094347275,True
2,0.925,2025-11-09 22:01:01.466458,2025-11-09 22:01:01.741211,0.274753,0.048760399999623893,0.0004139662494200007,0.005944659778318636,False
3,0.8,2025-11-09 22:01:01.762605,2025-11-09 22:01:01.964609,0.202004,0.31325161523552514,0.0014219757106098017,0.0003415185856335273,True
4,0.825,2025-11-09 22:01:01.986092,2025-11-09 22:01:02.259036,0.272944,0.33320094721394133,0.0009714238680462292,7.76107489795074e-05,False
5,0.575,2025-11-09 22:01:02.280368,2025-11-09 22:01:02.468390,0.188022,0.101790312306062,0.0025091657893836243,0.0071333500068418675,True
6,0.975,2025-11-09 22:01:02.489904,2025-11-09 22:01:02.774077,0.284173,0.14788090784144708,0.008467468946578191,0.00014825058200374365,True
7,1.0,2025-11-09 22:01:02.795268,2025-11-09 22:01:03.071627,0.276359,0.26950511781908565,0.0010737988068885798,1.0480467971827696e-05,True
8,1.0,2025-11-09 22:01:03.092906,2025-11-09 22:01:03.375528,0.282622,0.24018144830635785,0.0002710496545293698,0.00012358526078466798,False
9,0.7,2025-11-09 22:01:03.396946,2025-11-09 22:01:03.593253,0.196307,0.0145086562303538,0.001827208566009623,0.0001029840211015197,False
10,1.0,2025-11-09 22:01:03.616624,2025-11-09 22:01:03.888357,0.271733,0.48930278001742755,0.009795044961209615,0.0008494076580454035,True
11,0.95,2025-11-09 22:01:03.909699,2025-11-09 22:01:04.194659,0.28496,0.36264664732115437,0.00010095975555348117,1.420368104735603e-05,True
12,0.7,2025-11-09 22:01:04.215850,2025-11-09 22:01:04.381589,0.165739,0.4377836139072804,0.00411736037247512,1.17546881538328e-05,True
13,0.6,2025-11-09 22:01:04.403974,2025-11-09 22:01:04.560358,0.156384,0.25206414771285557,0.004633380021360756,0.0012032349380338397,True
14,0.725,2025-11-09 22:01:04.581738,2025-11-09 22:01:04.830786,0.249048,0.13831401306098506,0.0005081107289327617,3.361891961261218e-05,True
15,0.925,2025-11-09 22:01:04.852243,2025-11-09 22:01:05.133366,0.281123,0.24141011868223838,0.00013979178592333314,0.00048186745248619573,True
16,0.6,2025-11-09 22:01:05.154801,2025-11-09 22:01:05.295074,0.140273,0.08647759115619791,0.004264454706886589,0.002529965238835607,True
17,0.925,2025-11-09 22:01:05.316530,2025-11-09 22:01:05.587768,0.271238,0.3980777469229444,0.0006472447995852959,3.3081558168249865e-05,True
18,0.925,2025-11-09 22:01:05.609291,2025-11-09 22:01:05.890858,0.281567,0.19993023307486602,0.0002102211666259148,0.0012039388070415034,False
19,0.95,2025-11-09 22:01:05.912170,2025-11-09 22:01:06.194740,0.28257,0.2886015812956827,0.002532191578415035,3.47916784171335e-05,True
20,1.0,2025-11-09 22:01:06.216292,2025-11-09 22:01:06.485568,0.269276,0.015711118011421915,0.006396653924819919,0.0005822921051211508,True
21,1.0,2025-11-09 22:01:06.507021,2025-11-09 22:01:06.783165,0.276144,0.19196240471884232,0.00025462023738870586,0.0001397338676933832,False
22,0.85,2025-11-09 22:01:06.804555,2025-11-09 22:01:07.076887,0.272332,0.2683917508076671,0.00032546256621934815,0.00027599976320099223,False
23,0.95,2025-11-09 22:01:07.098214,2025-11-09 22:01:07.368464,0.27025,0.37280099206549755,0.0007119464343922755,0.00022863428072431401,False
24,0.975,2025-11-09 22:01:07.389900,2025-11-09 22:01:07.666295,0.276395,0.22532836878415158,0.00018808466083029214,4.9202803005609687e-05,False
25,0.85,2025-11-09 22:01:07.687718,2025-11-09 22:01:07.889279,0.201561,0.14685717233384316,0.002621434839678526,1.8223422522178257e-05,False
26,1.0,2025-11-09 22:01:07.910760,2025-11-09 22:01:08.210491,0.299731,0.3035224176812971,0.0003600243932242081,0.002026522984297445,False
27,0.775,2025-11-09 22:01:08.231990,2025-11-09 22:01:08.418524,0.186534,0.4350393899306354,0.0014979461014275257,6.236457206345894e-05,True
28,0.75,2025-11-09 22:01:08.439939,2025-11-09 22:01:08.711438,0.271499,0.08049164643012552,0.00088737263189631,1.9514889069024662e-05,False
29,0.875,2025-11-09 22:01:08.732883,2025-11-09 22:01:09.015690,0.282807,0.1589806379305259,0.00010170639777390095,0.0001892501753947377,True
